id,year,status
FAKE,1800,0
Kingdom of France,1848,1
Mexican Empire,1867,1
Empire of Brazil,1889,1
Kingdom of Hawaii,1894,1
Kingdom of Portugal,1910,1
Chinese Empire,1912,1
Kingdom of Prussia,1918,1
Kingdom of Bohemia,1918,1
Kingdom of Hungary,1918,1
Kingdom of Serbia ,1918,1
Kingdom of Italy,1946,1
Kingdom of Bulgaria,1946,1
Kingdom of Romania,1947,1
Newfoundland,1949,1
Union of South Africa,1961,1
Kingdom of Greece,1974,1
Kingdom of Spain,1975,1
Imperial State of Iran,1979,1
Kingdom of Belgium,1980,1
United Kingdom of Great Britain and Northern Ireland,2025,0
Kingdom of Norway,2025,0
Kingdom of the Netherlands,2025,0
Kingdom of Denmark,2025,0
Principality of Liechtenstein,2025,0
Kingdom of Sweden,2025,0
Grand Duchy of Luxembourg ,2025,0
New Zealand,2025,0
